3.124595281336322271e-03,4.293529468176030678e-02,1.473446104943924341e-02,3.963819248919894234e-01,2.081068067676189026e-03,6.851364793627144623e-02,9.792256867567039613e-01,1.605743462556556422e-01,5.042395805071493015e-02,8.053379238367026904e-02,9.062654245917911577e-01,7.135928198916077769e-02
2.778799176158471829e-01,1.406832975243687590e-02,4.711410555317985249e-03,8.551286326817242323e-01,7.273389647409813372e-04,2.201369019395700566e-02,6.412026824227101685e-01,5.194550320389557108e-02,1.630900370193956450e-02,2.588577543836325517e-02,9.650086365270238442e-01,2.324944281683084119e-02
2.777619813638602664e-01,1.407505332242536648e-02,4.713717889207002382e-03,8.550359490926259243e-01,7.276643892099591204e-04,2.202441934441073251e-02,6.413288595467329101e-01,5.197064943441011969e-02,1.631690018235884554e-02,2.589838694986656975e-02,9.650570003316796264e-01,2.326061776091053329e-02
6.036574357983138794e-01,1.709148329212956553e-03,5.250402764372735179e-04,9.968765862388659915e-01,1.087010173099205206e-04,2.496421984480242523e-03,3.134003745026095467e-01,6.035469912355781973e-03,1.893664021704972436e-03,2.939591728733245268e-03,7.507429651884386379e-01,2.769616642290776906e-03
5.654377048114356263e-01,3.100400215849547121e-03,1.125052899175453796e-03,9.909271171721332205e-01,1.580503465687067513e-06,4.783339150953741861e-03,3.499910631143636208e-01,7.103597071061592931e-03,3.091562894342444676e-03,5.581529786470358460e-03,7.833040430200737259e-01,2.654212948130295173e-03
2.182867366468796075e-02,5.175185012443255239e-01,3.409984148034435059e-01,9.501697833443939652e-04,5.572843835316838579e-01,4.058837260857239837e-01,7.891074046519977458e-02,4.802398267484121741e-02,3.477300866285033126e-02,4.056419727658849839e-01,3.622016355571686802e-02,2.703712239238136861e-01
1.211058800928451439e-02,2.128184477480673797e-01,1.619193688486152416e-01,5.030243742642535138e-04,6.554719086082941848e-01,6.298147667456480137e-02,3.763849650955627263e-02,4.882098764001684965e-01,2.615243706092266196e-01,4.784412409387487491e-02,1.966881261691021468e-02,7.429425717913532567e-01
3.923325743501557966e-02,1.827676713660808805e-01,4.247779503518121502e-01,1.913098779578681569e-03,3.957560104272632162e-01,5.885860695496676342e-01,1.400868737582786627e-01,1.809486948098470438e-01,8.803427813572633695e-03,6.030505110324760887e-01,6.451496427823280588e-02,3.644319484396603692e-01
9.692096636804192755e-01,2.522942715831825652e-02,1.002034530952344675e-02,4.840813751580115842e-01,9.806903750108947240e-04,4.192854379079796745e-02,6.739148455245677627e-02,9.409449999101046624e-02,2.643775670272186656e-02,4.885948021462693108e-02,3.600090109012833717e-02,4.107339967543829906e-02
1.468192767431742937e-04,3.485406409348301704e-01,4.779991574117490316e-01,1.938193435856997793e-03,2.035050197183226606e-01,2.164067687665696404e-01,6.628084359668939829e-03,1.036961007219578366e-02,6.551641602704829648e-01,1.727451656200292007e-01,6.281431057130775451e-03,2.823774056753011047e-02
5.753665676629380818e-03,1.855950810725344458e-01,6.927329048283699109e-01,2.441838569796004319e-04,2.738158059374522311e-03,7.665215189410243823e-01,1.430595732887439062e-02,2.952724140701019628e-01,1.102414620148434304e-01,7.563584312660651676e-01,8.823729264750751478e-03,1.022856168017779732e-01
2.379484298419407961e-03,1.810093820888954153e-01,6.347503993377997533e-01,8.290951723854987144e-05,2.911864959516234364e-01,4.112307473613911468e-01,7.881598590569818819e-03,8.556163278169957864e-02,5.162996957534785603e-01,3.625335101257907700e-01,3.808687901558765413e-03,2.153045279299470871e-01
